,url,nb_reviews,nb_stars,amazon_price,img_url
70,http://www.amazon.com/Quicksilver-Looking-Trilogy-Arcane-Society/dp/0515150568?tag=NYTBS-20,153,4.4,$7.29,"{""https://images-na.ssl-images-amazon.com/images/I/512TLd0hFlL._SY344_BO1,204,203,200_.jpg"":[215,346],""https://images-na.ssl-images-amazon.com/images/I/512TLd0hFlL._SX308_BO1,204,203,200_.jpg"":[310,499]}"
71,http://www.amazon.com/If-You-Were-Here-Novel/dp/0451234383?tag=NYTBS-20,237,3.7,$7.72,"{""https://images-na.ssl-images-amazon.com/images/I/51FEWVGmwyL._SX329_BO1,204,203,200_.jpg"":[331,499],""https://images-na.ssl-images-amazon.com/images/I/51FEWVGmwyL._SY344_BO1,204,203,200_.jpg"":[230,346]}"
72,http://www.amazon.com/2030-Real-Story-Happens-America-ebook/dp/B004OA62WC?tag=NYTBS-20,493,3.7,,
73,http://www.amazon.com/The-Final-Storm-Novel-Pacific/dp/0345497945?tag=NYTBS-20,453,4.5,$13.59,"{""https://images-na.ssl-images-amazon.com/images/I/51YV8Xf%2BKdL._SX323_BO1,204,203,200_.jpg"":[325,499],""https://images-na.ssl-images-amazon.com/images/I/51YV8Xf%2BKdL._SY344_BO1,204,203,200_.jpg"":[226,346]}"
74,http://www.amazon.com/Long-Drive-Home-A-Novel/dp/1416543031?tag=NYTBS-20,79,3.3,$7.49,"{""https://images-na.ssl-images-amazon.com/images/I/51JFQEaRawL._SX310_BO1,204,203,200_.jpg"":[312,499],""https://images-na.ssl-images-amazon.com/images/I/51JFQEaRawL._SY344_BO1,204,203,200_.jpg"":[217,346]}"
75,http://www.amazon.com/Against-All-Enemies-Tom-Clancy/dp/042524606X?tag=NYTBS-20,620,3.4,$8.99,"{""https://images-na.ssl-images-amazon.com/images/I/41sDpTs4f9L._SX281_BO1,204,203,200_.jpg"":[283,498],""https://images-na.ssl-images-amazon.com/images/I/41sDpTs4f9L._SY344_BO1,204,203,200_.jpg"":[197,346]}"
76,http://www.amazon.com/Folly-Beach-A-Lowcountry-Tale/dp/0062111736?tag=NYTBS-20,269,4.1,$12.59,"{""https://images-na.ssl-images-amazon.com/images/I/51b4UzumcZL._SX329_BO1,204,203,200_.jpg"":[331,499],""https://images-na.ssl-images-amazon.com/images/I/51b4UzumcZL._SY344_BO1,204,203,200_.jpg"":[230,346]}"
77,http://www.amazon.com/Robert-Ludlums-Bourne-Dominion-Jason-ebook/dp/B0048EKF3G?tag=NYTBS-20,565,3.9,,
78,http://www.amazon.com/Prey-A-Novel-Linda-Howard-ebook/dp/B004J4X7H6?tag=NYTBS-20,253,3.9,,
79,http://www.amazon.com/The-Art-Fielding-A-Novel/dp/0316126675?tag=NYTBS-20,1265,4.0,$9.76,"{""https://images-na.ssl-images-amazon.com/images/I/51u6m5UwKOL._SY344_BO1,204,203,200_.jpg"":[229,346],""https://images-na.ssl-images-amazon.com/images/I/51u6m5UwKOL._SX328_BO1,204,203,200_.jpg"":[330,499]}"
